Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label,start_here,Mismatch
PPS_Service_StrtUp_251123_1434.pptx,13,S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident - Startup SOP,S4,Create Startup Incident,/images/StartUp/S4.png,,S8,,,P7,Startup Create Startup Incident,Create Incident,Create Startup Incident.,Create Startup Incident,Add Startup Notes,,,,04_Create a Start Up Incident (not Published),,
PPS_Service_StrtUp_251123_1434.pptx,14,S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes- Startup SOP,S8,Add Startup Notes,/images/StartUp/S8.png,,S9,,,P3,Startup Add Startup Notes,Add Notes,Add Startup Notes.,Add Startup Notes,Add Lines,,,https://scottelectricusa.uap.infor.com/#/content/df93e4ab-0e8b-4df6-abe8-267fdd49903f?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,05_Add Start Up Notes,,
PPS_Service_StrtUp_251123_1434.pptx,15,S9. Add Lines– Startup SOP,S9. Add Lines- Startup SOP,S9,Add Lines,/images/StartUp/S9.png,,S10,,,P2,Startup Add Lines,Add Lines,Add Lines.,Add Lines,Schedule startup,,,https://scottelectricusa.uap.infor.com/#/content/82ed7343-6770-4287-a84b-48f2dc253e44?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,06_Add Line,,
PPS_Service_StrtUp_251123_1434.pptx,16,S10. Schedule startup – Startup SOP,S10. Schedule startup - Startup SOP,S10,Schedule startup,/images/StartUp/S10.png,,S11,,,P22,Startup Schedule Startup,Schedule Startup,Schedule startup.,Schedule startup,Print Pick ticket,,,,11_Schedule Service (not Published),,
PPS_Service_StrtUp_251123_1434.pptx,17,S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket- Startup SOP,S11,Print Pick ticket,/images/StartUp/S11.png,,S12,,,P20,Startup Print Pick Ticket,Print Pick Ticket,Print. Pick ticket.,Print Pick ticket,Shipping Feed back,,,,02_Print Pick Ticket (not published),,
PPS_Service_StrtUp_251123_1434.pptx,18,S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back - Startup SOP,S12,Shipping Feed back,/images/StartUp/S12.png,,S13,,,P23,Startup Shipping Feed Back,Shipping Feed Back,Shipping Feed back.,Shipping Feed back,Assigned Tech Performs Start,,,https://scottelectricusa.uap.infor.com/#/content/e046d76e-0ee2-4771-ae37-f9758c1bce84?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,03_Shipping Feedback for Start Up,,
PPS_Service_StrtUp_251123_1434.pptx,19,S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up- Startup SOP,S13,Assigned Tech Performs Start,/images/StartUp/S13.png,,S14,,,P4,Startup Assigned Tech Performs Start,Assigned Tech Performs Start,Assigned Tech Performs Start.,Assigned Tech Performs Start,Register Unit,,,,07_Schedule (not Published),,
PPS_Service_StrtUp_251123_1434.pptx,20,S14. Register Unit– Startup SOP,S14. Register Unit- Startup SOP,S14,Register Unit,/images/StartUp/S14.png,,S5,,,P21,Startup Register Unit,Register Unit,Register Unit.,Register Unit,Order Enquiry Using Serial Number,,,https://scottelectricusa.uap.infor.com/#/content/44897267-c9a9-4ab1-854a-14b2054b8547?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,08_Register Unit,,
PPS_Service_StrtUp_251123_1434.pptx,21,S5. Order Enquiry Using Serial Number– Startup SOP,S5. Order Enquiry Using Serial Number- Startup SOP,S5,Order Enquiry Using Serial Number,/images/StartUp/S5.png,,S6,,,P14,Startup Order Enquiry Using Serial Number,Order Enquiry Using Serial Number,Order Enquiry Using Serial Number.,Order Enquiry Using Serial Number,Create New Unit,,,https://scottelectricusa.uap.infor.com/#/content/b2be844f-cc50-4661-a4c1-8b36f22cc2dd?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,09_Order Inquiry Using a Serial Number,,
PPS_Service_StrtUp_251123_1434.pptx,22,S6. Create New Unit – Startup SOP,S6. Create New Unit - Startup SOP,S6,Create New Unit,/images/StartUp/S6.png,,S7,,,P6,Startup Create New Unit,Create New Unit,Create New Unit.,Create New Unit,Create Chargeable SRO,,,https://scottelectricusa.uap.infor.com/#/content/f3b2d09a-1e39-41e8-a89e-7b3ba81ab293?contextId=2e9fbecd-89f5-4dca-b67e-80f665d0944c,01_Create a Customer Unit,,
PPS_Service_StrtUp_251123_1434.pptx,23,S7. Create Chargeable SRO – Startup SOP,S7. Create Chargeable SRO - Startup SOP,S7,Create Chargeable SRO,/images/StartUp/S7.png,,N2,,,P5,Startup Create Chargeable SRO,Create Chargeable SRO,Create Chargeable SRO.,Create Chargeable SRO,Original Sale Order Not Known,,,https://scottelectricusa.uap.infor.com/#/content/116036b4-ca1f-4c52-9ca5-544f66d3ee29?contextId=3a4b3dad-96fe-4694-a768-791383f32e32,04_Quick Create SRO,,
PPS_Service_StrtUp_251123_1434.pptx,24,N1. We did not sell the Generator Known – Startup SOP,N1. Did we sell the Generator - Startup SOP,N2,Original Sale Order Not Known,/images/StartUp/N2.png,,N2,,,,,We did not sell the Generator Known – Startup SOP,,,Original Sale Order Not Known,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,25,N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known - Startup SOP,N2,Original Sale Order Not Known,/images/StartUp/N2.png,,S3,,,,, Original Sale Order Not Known – Startup SOP,,,No Sales order is not known,,,,,,
PPS_Service_StrtUp_251123_1434.pptx,27,S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,/images/StartUp/S999.png,,,,,P26,Startup You Have Successfully Completed This SOP,You Have Successfully Completed This SOP,You have successfully completed this SOP.,You have successfully completed this SOP,,,,,,,
