Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP Label,UAP url,start_here,Mismatch,Entity,Function,SubEntity,SOP_id,SOP_path
SE_SLS_Ord2Pick_251121_1354.pptx,11,D2. No COD tendering ? - Sales Order  to Pick SOP,D2. No COD tendering ? - Sales Order to Pick SOP,D2,No COD tendering ?,D2.png,"This is an ""On Account Customer"" SO there is NO COD or Tendering ",Y2,N2,,,, Yes  - no COD Tendering,,,"Yes ""no COD Tendering""","No, This is a COD or Tendering Order",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,12,Y2. Yes  - no COD Tendering  - Sales Order  to Pick SOP,"Y2. Yes ""no COD Tendering"" - Sales Order to Pick SOP",Y2,"Yes ""no COD Tendering""",Y2.png,,S4,,,,, Finish Sales Order ,,,Finish Sales Order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,13,S4. Finish Sales Order - Sales Order  to Pick SOP,S4. Finish Sales Order - Sales Order to Pick SOP,S4,Finish Sales Order,S4.png,,D3,,,,,Decision if this is a blanket or Fulfillment order,,,Is it a blanket or Fulfillment Order ?,,,01_Enter Stock Customer Sales Order,https://scottelectricusa.uap.infor.com/#/content/1b2f0b1b-3da4-431c-8fe4-742678a6b891?contextId=a1856482-743b-42ae-9935-0b1dd402a198,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,14,D3. Is it a blanket or Fulfillment Order ? - Sales Order  to Pick SOP,D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3,Is it a blanket or Fulfillment Order ?,D3.png,Is this a blanket or Fulfillment Order?,Y3,N3,,,,Yes this is a fulfillment order,,,"Yes, it is a Blanket or Fulfillment Order","No , it is not a Blanket or Fulfillment Order",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,15,"Y3. Yes, it is a Blanket or Fulfillment Order  - Sales Order  to Pick SOP","Y3. Yes, it is a Blanket or Fulfillment Order - Sales Order to Pick SOP",Y3,"Yes, it is a Blanket or Fulfillment Order",Y3.png,,S5,,,,,Create Blanket or Fulfillment order,,,Create Blanket or Fulfillment Order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,16,S5. Create Blanket or Fulfillment Order  - Sales Order  to Pick SOP,S5. Create Blanket or Fulfillment Order - Sales Order to Pick SOP,S5,Create Blanket or Fulfillment Order,S5.png,,D4,,,,,Is the sale order on hold,,,Sales order on hold ?,,,01_Create a Blanket Order,https://scottelectricusa.uap.infor.com/#/content/eaababd2-d936-4c5e-b198-e33cd1c78a22?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,17,D4. Sales order on hold ? - Sales Order  to Pick SOP,D4. Sales order on hold ? - Sales Order to Pick SOP,D4,Sales order on hold ?,D4.png,Is this Sales Order on Hold ?,Y4,N4,,,,Yes sales order is on hold ,,,"Yes , Sales Order is on Hold","No , Sales Order is not on Hold",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,18,Y4. Sales Order is on Hold - Sales Order  to Pick SOP,Y4. Sales Order is on Hold - Sales Order to Pick SOP,Y4,Sales Order is on Hold,Y4.png,,S6,,,,,Notify credit department to talk to customer and take action ,,,Notification sent to Credit,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,19,S6. Notification sent to Credit - Sales Order  to Pick SOP,S6. Notification sent to Credit - Sales Order to Pick SOP,S6,Notification sent to Credit,S6.png,,D5,,,,,Was credit restored ?,,,Was Credit Restored or COD or CC accepted?,,,04_Perform a Credit Review on a Customer Account,https://scottelectricusa.uap.infor.com/#/content/52486252-2948-4c5f-8ca3-d7435dd8a83d?contextId=94586b48-a69c-438f-93ba-67e06e605c3c,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,20,D5. Was Credit Restored or COD or CC accepted? - Sales Order  to Pick SOP,D5. Was Credit Restored or COD or CC accepted? - Sales Order to Pick SOP,D5,Was Credit Restored or COD or CC accepted?,D5.png,Was the Customer's Credit restored or did they accept one of the alternate options presented,Y5,N5,,,,Yes credit was  restored or COD or Cc terms were accepted by Customer for this order,,,"Yes, Credit Restored or COD or CC was accepted?",No Credit was not restored and customer did not avail options presented,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,21,"Y5.  Yes,  Credit Restored or COD or CC  was accepted? - Sales Order  to Pick SOP","Y5. Yes, Credit Restored or COD or CC was accepted - Sales Order to Pick SOP",Y5,"Yes, Credit Restored or COD or CC was accepted?",Y5.png,,S7,,,,,Print customer Acknowledgement and Pick ticket,,,Print Customer Acknowledgement and Pick Ticket,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,22,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order  to Pick SOP,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order to Pick SOP,S7,Print Customer Acknowledgement and Pick Ticket,S7.png,,S8,,,,,Proceed to pick to Invoice SOP ,,,Proceed to the Pick to Invoice SOP,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,23,S8. Proceed to the Pick to Invoice SOP - Sales Order  to Pick SOP,S8. Proceed to the Pick to Invoice SOP - Sales Order to Pick SOP,S8,Proceed to the Pick to Invoice SOP,S8.png,,N5,,,,,No customer did not take any options presented ,,,No Customer did not take any of the options presented,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,24,N5. No Customer did not take any of the options presented- Sales Order  to Pick SOP,N5. No Customer did not take any of the options presented- Sales Order to Pick SOP,N5,No Customer did not take any of the options presented,N5.png,,S9,,,,,Cancel order ,,,Cancel order inform Sales and update Reason code,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,25,S9. Cancel order inform Sales and update Reason code - Sales Order  to Pick SOP,S9. Cancel order inform Sales and update Reason code - Sales Order to Pick SOP,S9,Cancel order inform Sales and update Reason code,S9.png,,N4,,,,,No sales order is not on hold ,,,"No, Sales order is not on hold",,,01_Release Credit Hold,https://scottelectricusa.uap.infor.com/#/content/36146b68-e229-4061-b6fa-f1f65ea83cab?contextId=94586b48-a69c-438f-93ba-67e06e605c3c,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,26,"N4. No, Sales order is not on hold - Sales Order  to Pick SOP","N4. No, Sales order is not on hold - Sales Order to Pick SOP",N4,"No, Sales order is not on hold",N4.png,,N3,,,,,No this is not a blanket or fulfillment order ,,,"No, Not a Blanket or Fulfillment Order",,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,27,"N3. No, Not a Blanket or Fulfillment Order- Sales Order  to Pick SOP","N3. No, Not a Blanket or Fulfillment Order- Sales Order to Pick SOP",N3,"No, Not a Blanket or Fulfillment Order",N3.png,,N2,,,,,This is a COD or tendering order,,,"No, This is a COD or Tendering Order",,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,28,"N2. No, This is a COD or Tendering Order - Sales Order  to Pick SOP","N2. No, This is a COD or Tendering Order - Sales Order to Pick SOP",N2,"No, This is a COD or Tendering Order",N2.png,,S10,,,,,Collect payment ,,,Collect Payment via CC or other,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,29,S10. Collect Payment via CC or other - Sales Order  to Pick SOP,S10. Collect Payment via CC or other - Sales Order to Pick SOP,S10,Collect Payment via CC or other,S10.png,,N1,,,,,No there are Add -on's that must entered now,,,"No, There are ""Add on"" to add",,,22_Run Credit Card Receive on Account,https://scottelectricusa.uap.infor.com/#/content/d964514c-4f60-4a5f-813f-d4be679cca6a?contextId=fd6bc02c-2152-4cbc-a528-70405e9ba64b,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,30,"N1. No, There are  - Add onÄù to add  - Sales Order  to Pick SOP","N1. No, There are ""Add on"" to add - Sales Order to Pick SOP",N1,"No, There are ""Add on"" to add",N1.png,,S11,,,,,"Add ""Add ons""",,,Add Add-on's to the Sales order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,31,S11. Add Add-on's to the Sales order - Sales Order  to Pick SOP,S11. Add Add-on's to the Sales order - Sales Order to Pick SOP,S11,Add Add-on's to the Sales order,S11.png,,S999,,,,,You have successfully completed the module Order to pick SOP,,,You have successfully completed this SOP,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,32,S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,S999.png,,,,,,,,,,,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
