SelectionTitle,Title,Code,Title_short,OPM_Step,Source_File,Source_Title,Step_narr_in,Code-OPM_S,Match_conf
,,,,P9,Pick2Inv_S001._About_Scott_Electric_and_Welcome_to_Training.xlsx,Pick2inv S001. About Scott Electric And Welcome To Training,"S001. About Scott Electric and Welcome to Training — Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects. Welcome to the Scott Electric Training Site_x000B_Welcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day — in sales, operations, service, administration, and support._x000B_Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",,
,,,,P10,Pick2Inv_S002._Quote_to_Cash_Work_Flow_At_SE_Electrical_Distribution.xlsx,Pick2inv S002. Quote To Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution — This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first,,
,,,,P11,Pick2Inv_S003._Pictorial_representation_of_Quote_to_Cash_-_At_SE_Electrical_Distribution.xlsx,Pick2inv S003. Pictorial Representation Of Quote To Cash At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution — This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business While this light is the precursor to the focused area of Quote to cache the picture shows how the various phases within that task is directly or indirectly affecting other components within the system for example an inventory is consumed the inventory has to be replenished and that is done by the procure to pay cycle Similarly because a sales occurred there has to be accounting for the sale and also at the end of the day collection of the payment against the invoice so hence that goes into the financial side of the impact now because inventory is being both consumed replenished and in some cases being procured and directly shipped to the customer that has a direct impact on how the inventory is managed within the system,,
,,,,P12,Pick2Inv_S1._Pick_ticket_printed_at_Warehouse-.xlsx,Pick2inv S1. Pick Ticket Printed At Warehouse,"S1. Pick ticket printed at Warehouse- — Function acronym: OEEPP Use this report to print pick tickets so that the products can be picked from the warehouse and staged for shipping. Optionally, you can print Integrated Barcode pick labels or cartonization package labels. Run this report after a sales order is created, and you have optionally sent an acknowledgment to the customer. You can print pick tickets automatically from Sales Order Entry and Sales Entry Shipping Feedback Report through this function. You can also print pick tickets with Sales Entry Back Order Fill Report after an order is filled. A temporary lock is placed on orders until picking is complete. Because pick tickets can be printed from multiple functions, the lock ensures that the pick tickets are printed only once. If the Sales Entry Back Order Fill Report or Sales Entry Pick Tickets Report does not finish processing, the user that created the order can unlock the order in Sales Order Entry. Printing pick tickets You can only print pick tickets for Stock Orders (SO), Blanket Releases (BR) and Counter Sales (CS) order types. Printing pick tickets changes orders from Stage 1 (Ordered) to Stage 2 (Picked), unless the total shipped quantity on the order is zero. If the stage is already Stage 3 (Shipped), it is not changed. Pick tickets cannot be printed for orders that have been invoice processed. If Line Ship Complete is selected for a line item and these conditions are met, a pick ticket is not printed for the line: The customer or ship to accepts back orders. The line cannot be filled in its entirety. When you run the pick ticket report, the shipped quantity for a Line Ship Complete line is set to zero and the line is included on the back order. The status of the Line Ship Complete option is copied from the original order to the back order. The shipped quantity on the back order is updated with the shipped quantity value from the original line. Stock is re-allocated to the line if stock is available after the Sales Entry Processing Back Order Fill Report is run. You can use one of these methods to print pick tickets for Return Merchandise (RM) order types: Print the print tickets from Sales Order Entry List the RM order on the Sales Entry Pick Tickets Report",,
,,,,P13,Pick2Inv_S10._DQT_Provides_Delivery_Confirmation.xlsx,Pick2inv S10. DQT Provides Delivery Confirmation,"S10. DQT Provides Delivery Confirmation — DQ Technologies offers a comprehensive delivery confirmation solution through its Order Delivery Tracking (ODT) suite. This suite includes features such as: Real-time tracking of delivery status, allowing customers to access their order status via an app. 1 GPS tracking and customer notifications to enhance customer service and operational efficiency. 1 Mobile applications for iOS and Android that facilitate communication between dispatch and drivers, capturing order status updates and proof of delivery. 1 SMS and e-messaging services that provide automated updates to customers regarding their orders, including delivery confirmation. 1 For more information, you can visit the DQ Technologies website or check out their Order Delivery Tracking page.",,
,,,,P14,Pick2Inv_S11._Shipping_feed_needs_to_completed_on_this_order.xlsx,Pick2inv S11. Shipping Feed Needs To Completed On This Order,"S11. Shipping feed needs to completed on this order — Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked from the warehouse and require changes. If you know the order number to ship, you can use the Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry: Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items on the order Print pick tickets and invoices on demand Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. These options are available on the main page or the Quick Ship page: Reserve Split to Back Order Shipping notifications Ship Unship To view header and line item detail, click the right arrow to open the order record.",,
,,,,P15,Pick2Inv_S2._Order_Picked_and_Staged.xlsx,Pick2inv S2. Order Picked And Staged,"S2. Order Picked and Staged — The Order fillers process one order at a time, then marks any descripencies in the quantity picked versus ordered Stages This table shows the processing stages for orders in the TWL warehouse: Status Description Open The order was printed and sent to TWL. It is in the online Order Manager. In Pick The order has been released for picking, or “dropped to the floor”. Picked Line items are being picked. Packed Picking is complete and the items are packed into a carton and ready to be shipped. Loaded Packages for the order are loaded on a truck and staged for shipping. The order can still be modified, unpicked, or canceled before the packages are shipped and the order data updates. Shipped The order has been shipped and the order data updates. Zero Pick The order could not be filled during picking. Hold The order is an exception in Order Manager and was manually put on hold to prevent further processing.",,
,,,,P16,Pick2Inv_S3._Verification_and_Packing_confirm_ordered_vs_Shipped-.xlsx,Pick2inv S3. Verification And Packing Confirm Ordered Vs Shipped,S3. Verification and Packing (confirm ordered vs Shipped)- — The checkers or verifiers take the picked content and verify the actual material against the Order then compare to what was on the picked report,,
,,,,P17,Pick2Inv_S4._Shipping_feedback_with_no_change_paper_work_in_separate_bin_-.xlsx,Pick2inv S4. Shipping Feedback With No Change Paper Work In Separate Bin,"S4. Shipping feedback with no change paper work in separate bin - — This is needed only if there is a difference between the quantity picked checked and wordered, this step creates a back order for the remaining quantity",,
,,,,P18,Pick2Inv_S5._Customer_Pickup_or_UPS_Dispatch.xlsx,Pick2inv S5. Customer Pickup Or UPS Dispatch,S5. Customer Pickup or UPS Dispatch — If the customer has indicated that the order would be picked up in person or if this is a ship via Ups order then this process is followed,,
,,,,P19,Pick2Inv_S6._Run_Pre-Invoice_Exception_report.xlsx,Pick2inv S6. Run Pre Invoice Exception Report,"S6. Run Pre-Invoice Exception report — The pre invoice and exception report Function acronym: OERX Use this report to review and correct invoice processing exceptions for sales orders before you run the Sales Entry Invoice Processing Report at the end of each day. The Sales Pre-Invoice Exceptions Report uses the same logic as Sales Entry Invoice Processing Report, but files are not updated. It also reviews each sales order to capture all exceptions that would prevent the sales order from being invoiced. You can view and resolve the exceptions throughout the day so that exceptions are resolved before nightly invoice processing occurs. Exceptions are stored in an internal OEIX table, and are noted with a Created by OERX flag. This table is also updated by the Sales Entry Invoice Processing Report. Exceptions in this table can be viewed on the Sales Pre-Invoice Exceptions Report and in Sales Invoicing Exception Inquiry.",,
,,,,P20,Pick2Inv_S7._Run_Invoice_processing.xlsx,Pick2inv S7. Run Invoice Processing,"S7. Run Invoice processing — Function acronym: OEEPI Use this report to generate invoices for sales orders. You can invoice process an order after it is picked and shipped. Invoice processing Invoicing is one of the last required steps to complete an order. Invoice processing places the order in Stage 4 (Invoiced) or Stage 5 (Paid), if the payment amount equals the invoice amount. An order cannot be changed or deleted after it is invoice processed, although an invoiced order can be copied to a new order. For range or list processing, orders are invoiced, the order stage changed, and all Customer, General Ledger and Product updates are performed in this order: RM orders in order number order All other orders in order number order This processing order is separate from the print order. If the Our Records Only Invoice option is selected in Sales Order Entry, the order is invoice processed but output is not generated.",,
,,,,P21,Pick2Inv_S8._Go_To_Invoice_to_Cash_Major_SOP.xlsx,Pick2inv S8. Go To Invoice To Cash Major SOP,S8. Go To Invoice to Cash Major SOP — This is an external process (External to this SOP) and the next set of steps and decision in the Quote to Cash Work Flow,,
,,,,P22,Pick2Inv_S9._Review_and_take_appropriate_action.xlsx,Pick2inv S9. Review And Take Appropriate Action,"S9. Review and take appropriate action — Function acronym: ARRCC Use this report to review all relevant credit information contained in the customer's Customer Setup-Credit record. Depending on your procedures and policies, you can run the Customer Credit Report each day for customers over their credit limit, on hold, or with overdue balances. You can also use the report on a cyclical basis to review all customers. Each day you can review a small range of customers to identify those with credit problems. Note: This report does not use the on order balance to determine if a customer or ship-to address is on hold. On order is displayed as a separate column on the report. Customer balance information does not include balances for ship-to records with credit limits. Ship-to records with credit limits, hold periods, or on hold display on the report. These hold designators are displayed: Ship To On Hold – Over Cred Limit Ship To On Hold – Hold Period Ship To – Over Sales Limit Ship To – Preliminary Lien Not Filed If a ship to record does not have a credit limit, it only appears if it has a hold period. If this is the case, Customer is displayed in the credit limit column. Last Review Date, Next Review Date, and Average Days to Pay always reflects customer level data. For a ship to record, Customer Ship To Setup job-to-date is displayed instead of Customer Setup sales year-to-date. If you are a credit manager, you can print the Customer Credit Report for customers assigned to you. Review customers on a regular basis to ensure that their credit limit is still applicable, the average days to pay setting is acceptable, or overdue balances do not exist or are not excessive. Reset the Next Revision Date field on the customer's Customer Setup-Credit record each time you review a customer. You can use the current value in the Next Revision Date to print the Customer Credit Report. All customers with a next review date up through the date you specify are included on the report. You also can automatically increase the Next Revision Date field when this report is printed. This report also provides the information that is required for credit managers to determine if current conditions warrant ongoing credit at the current levels, if tighter controls should be established, or if higher levels of credit should be offered.",,
,,,,P23,Pick2Inv_S999._You_have_successfully_completed_this_SOP.xlsx,Pick2inv S999. You Have Successfully Completed This SOP,S999. You have successfully completed this SOP — Congratulations you have now traversed all the possible paths for this SOP of port to sales order While it is good that you've traversed all the paths what you need to do is to practice and become efficient and be able to translate your current work to the new system Have a nice day,,
,,,,P24,Pick2Inv_Y1._Yes_There_is_no_difference_between_Qty_ordered_and_Qty_being_shipped-.xlsx,Pick2inv Y1. Yes There Is No Difference Between Qty Ordered And Qty Being Shipped,"Y1. Yes, There is no difference between Qty ordered and Qty being shipped-",,
,,,,P25,Pick2Inv_Y2._Yes_confirmation_is_not_required.xlsx,Pick2inv Y2. Yes Confirmation Is Not Required,"Y2. Yes, confirmation is not required",,
,,,,P26,Pick2Inv_nan.xlsx,Pick2inv Nan,C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx,,
,,,,PM,,Process Overview,,,
