OPM_Step,Source_File,Source_Title,Step_narr_in,Step_narr_m_in,Step_narr_out,Step_narr_out_simple,Step_narr_m_out,Step_narr_m_out_simple
P11,ShipFB_S10._Print_Shipping_Document.xlsx,S10. Print Shipping Document,"S10. Print Shipping Document-Function acronym: OEEPD Use this report to print Delivery Documents for sales orders. The Delivery Document is similar to a pick ticket, but is a customer-facing record of the sales order being delivered by the distributor. It is not an internal control document for warehouse personnel (for example, it would not contain pick ticket-like notes or shipping instructions). The Delivery Document is typically printed after the sales order is picked and would include any changes to the order that might have occurred during picking. Note: For IDM output, delivery document output displays multiple lines when there are multiple bins involved in picking for a single line item. Each bin is displayed on a separate line with the line number. Due to IDM and remapping complexity, this is necessary to display accurate bin quantities. Unlike the pick ticket, printing a Delivery Document does not change the stage of the order or update inventory. The Delivery Document can be set up to include the price. You can set operator security for printing of the document; you can track the number of copies. The Delivery Document can be in print, PDF, or e-mail format. You can print Delivery Documents for the following order types: sales order, counter sale, return merchandise, blanket release. Optionally, you can print BOD Kit Components (non-transferable only), if the Print on Invoice option is selected in Product Setup-General-Kit.",,"S10. Print Shipping Document-Function acronym: OEEPD Use this report to print Delivery Documents for sales orders. The Delivery Document is similar to a pick ticket, but is a customer-facing record of the sales order being delivered by the distributor. It is not an internal control document for warehouse personnel (for example, it would not contain pick ticket-like notes or shipping instructions). The Delivery Document is typically printed after the sales order is picked and would include any changes to the order that might have occurred during picking. Note: For IDM output, delivery document output displays multiple lines when there are multiple bins involved in picking for a single line item. Each bin is displayed on a separate line with the line number. Due to IDM and remapping complexity, this is necessary to display accurate bin quantities. Unlike the pick ticket, printing a Delivery Document does not change the stage of the order or update inventory. The Delivery Document can be set up to include the price. You can set operator security for printing of the document; you can track the number of copies. The Delivery Document can be in print, PDF, or e-mail format. You can print Delivery Documents for the following order types: sales order, counter sale, return merchandise, blanket release. Optionally, you can print BOD Kit Components (non-transferable only), if the Print on Invoice option is selected in Product Setup-General-Kit.","S10. Print Shipping Document. Function acronym: OEEPD Use this report to print Delivery Documents for sales orders. The Delivery Document is similar to a. Pick ticket, but is a customer-facing record of the sales order being delivered by the distributor. It is not an internal control document for warehouse personnel (for example, it would not contain. Pick ticket-like notes or shipping instructions). The Delivery Document is typically printed after the sales order is picked and would include any changes to the order. Note: For IDM output, delivery document output displays multiple lines when there are multiple bins involved in picking for a. Each bin is displayed on a separate line  number. Due to IDM and remapping complexity, this is necessary to display accurate bin quantities. Unlike the. Pick ticket, printing a Delivery Document does not. Change the stage of the order or update inventory. The Delivery Document can be. Set up to include the price. You can. Set operator security for printing of the document; you can track the number of copies. The Delivery Document can be in print, PDF, or e-mail format. You can print Delivery Documents for the following order types: sales order, counter sale, return merchandise, blanket release. Optionally, you can print BOD Kit Components (non-transferable only), if the Print on Invoice option is selected in Product Setup-General-Kit.",,
P12,ShipFB_S2._Review_the_details_of_the_Order.xlsx,S2. Review The Details Of The Order,"S2. Review the details of the Order-Sales > Inquiry > Order Use this tab to see general information about the order, including tender history, credit card information, and operational hold codes. You can expand the Credit Card Details section to view a list of the credit cards that are associated with the order. To view authorization details, expand the record. This information from the credit card processor response file is displayed: The date and time the transaction response was sent The actual reason codes for denial These fields are informational only. You can use these fields for audit history or for troubleshooting",,"S2. Review the details of the Order-Sales > Inquiry > Order Use this tab to see general information about the order, including tender history, credit card information, and operational hold codes. You can expand the Credit Card Details section to view a list of the credit cards that are associated with the order. To view authorization details, expand the record. This information from the credit card processor response file is displayed: The date and time the transaction response was sent The actual reason codes for denial These fields are informational only. You can use these fields for audit history or for troubleshooting","S2. Review the details of the Order. Sales > Inquiry > Order Use this to see general information about the order, including tender history, credit card information,. You can expand the Credit Card Details to view a list of the credit cards that are associated order. To view authorization details, expand the record. This information credit card processor response file is displayed: The date and time the transaction response was sent The actual. You can use these fields for audit history or for troubleshooting.",,
P13,ShipFB_S3._Enter_adjusted_to_be_shipped.xlsx,S3. Enter Adjusted To Be Shipped,"S3. Enter adjusted to be shipped-Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked from the warehouse and require changes. If you know the order number to ship, you can use the Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry: Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items on the order Print pick tickets and invoices on demand Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. Use this page to review and edit the line items on the order. Some fields in the grid are editable. Use the buttons on the grid toolbar to access Warehouse Manager, Re-Reserve, and to Set Qty Ship to Zero. You can process normal and returned lines from this view. If the order is in Stage 1 (Ordered), the Product Setup Warehouse Product quantity reserved is decreased, and the quantity committed is increased before you access the Line Items view. If the order is already in Stage 2 (Picked) or Stage 3 (Shipped), the committed balance is affected if the quantity shipped is increased or decreased. Quantities that are committed have already been picked from the warehouse and may have been shipped. If a line is being returned, on hand quantity is not affected until you perform invoice processing in Sales Entry Invoice Processing Report. Also, if part of the returned quantity is unavailable, the unavailable quantity is not updated until you process invoices. If a back order must be created for any lines that contain a zero quantity shipped, the back order is created based on the Create OE Back Orders At Stage option in SA Administrator Options-Documents-Sales Orders-Back Orders. This enables Sales Processing Back Order Fill Report to fill the back order when stock is available. From the Line Items view, you can advance to Serial Lots and Kits when you are processing a serial, lot, or kit product. If any of the products on the order are serialized or have lots and are not fully allocated, a warning message is displayed. You cannot invoice process the order until all serial and lot numbers for the order have been allocated. Use the Shipping Feedback Line Items grid to review and edit the line record. Some fields in the grid are editable. Use the actions on the grid toolbar to access Warehouse Manager, Re-Reserve, and to Set Qty Ship to Zero. For orders with a Just In Time disposition, only picked lines are displayed. This message is displayed if you try to ship a Just in Time order that has not been picked: JIT Orders Must Be Picked Before Shipping or Invoice Processing (6123).",,"S3. Enter adjusted to be shipped-Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked from the warehouse and require changes. If you know the order number to ship, you can use the Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry: Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items on the order Print pick tickets and invoices on demand Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. Use this page to review and edit the line items on the order. Some fields in the grid are editable. Use the buttons on the grid toolbar to access Warehouse Manager, Re-Reserve, and to Set Qty Ship to Zero. You can process normal and returned lines from this view. If the order is in Stage 1 (Ordered), the Product Setup Warehouse Product quantity reserved is decreased, and the quantity committed is increased before you access the Line Items view. If the order is already in Stage 2 (Picked) or Stage 3 (Shipped), the committed balance is affected if the quantity shipped is increased or decreased. Quantities that are committed have already been picked from the warehouse and may have been shipped. If a line is being returned, on hand quantity is not affected until you perform invoice processing in Sales Entry Invoice Processing Report. Also, if part of the returned quantity is unavailable, the unavailable quantity is not updated until you process invoices. If a back order must be created for any lines that contain a zero quantity shipped, the back order is created based on the Create OE Back Orders At Stage option in SA Administrator Options-Documents-Sales Orders-Back Orders. This enables Sales Processing Back Order Fill Report to fill the back order when stock is available. From the Line Items view, you can advance to Serial Lots and Kits when you are processing a serial, lot, or kit product. If any of the products on the order are serialized or have lots and are not fully allocated, a warning message is displayed. You cannot invoice process the order until all serial and lot numbers for the order have been allocated. Use the Shipping Feedback Line Items grid to review and edit the line record. Some fields in the grid are editable. Use the actions on the grid toolbar to access Warehouse Manager, Re-Reserve, and to Set Qty Ship to Zero. For orders with a Just In Time disposition, only picked lines are displayed. This message is displayed if you try to ship a Just in Time order that has not been picked: JIT Orders Must Be Picked Before Shipping or Invoice Processing (6123).","S3. Enter adjusted to be shipped. Function acronym: OEES Use this function to ship orders and vendor returns, and modify orders that have been picked warehouse. If you know the order number to ship, you can Quick Ship feature. You can perform these tasks in Sales Shipping Feedback Entry:. Change order addons, quantity shipped, serial numbers, and lot numbers Automatically fill outstanding backorders Ship all line items order Print. Pick tickets and invoices on demand. Change regular orders You cannot cancel or delete an order in Sales Shipping Feedback Entry. Use this page to review and edit the line items order. Some fields grid are editable. Buttons grid toolbar to access Warehouse Manager, Re-Reserve, and to. Set Qty Ship to Zero. You can process normal and returned lines from this view. If the order is in Stage 1 (Ordered), the Product Setup Warehouse Product quantity reserved is decreased, and the quantity. If the order is already in Stage 2 (Picked) or Stage 3 (Shipped), the committed balance is affected if the. Quantities that are committed have already been picked warehouse and may have been shipped. If a line is being returned, on hand quantity is not affected until you perform invoice processing in Sales Entry. Also, if part of the returned quantity is unavailable, the unavailable quantity is not updated until you process invoices. If a back order must be created for any lines that contain a zero quantity shipped, the back order is. This enables Sales Processing Back Order Fill Report to fill the back order when stock is available. Line Items view, you can advance to Serial Lots and Kits when you are processing a serial, lot, or kit. If any of the products order are serialized or have lots and are not fully allocated, a warning message is. You cannot invoice process the order until all serial and lot numbers for the order have been allocated. Shipping Feedback Line Items grid to review and edit the line record. Some fields grid are editable. Actions grid toolbar to access Warehouse Manager, Re-Reserve, and to. Set Qty Ship to Zero. For orders with a Just In Time disposition, only picked lines are displayed. This message is displayed if you try to ship a Just in Time order that has not been picked: JIT.",,
P14,ShipFB_S4._Flag_Product_to_be_counted.xlsx,S4. Flag Product To Be Counted,"S4. Flag Product to be counted-Function acronym: ICEPC Use this report to start printing count sheets with the first bin location in the warehouse up to the number of products to count for the current session. Cycle counting means counting a limited number of different products or bins each night. The system€™s cycle counting is true cycle counting. This means there are no report ranges that can be entered. The count is performed in bin location order without regard to which products are supposed to be in the bins, and the count is done shelf to sheet. If several products have the same bin location, the products are sorted in product order. Build-on-demand kits and labor products are excluded from this process. Products with the Count Required field selected in Product Warehouse Product Setup - General are included if they are in the selected bin location. The following evening, the count sheet picks up where the current count sheet ends. Each evening, the last bin location is stored internally on each warehouse record. The following evening, the count sheets start with the next available bin location. If the product is flagged as a must count, the letter c prints next to the expected quantity on the count sheet. Note: If a cycle count run number is open when a physical count run is created, any adjustments updated for the cycle count are made again when the physical count is updated. No cycle count runs should be made while a physical count run is in an open stage that has not been updated. Even with just cycle counts, a remote possibility exists that an item is cycle counted, then set for cycle counting due to an adjustment, and cycle counted again while the first run is still open. Use extreme caution with multiple open run numbers. The Bin Locations and Products record, which does not contain an On Hand quantity, is not automatically deleted when you specify a zero quantity in Product Count Entry. Run the WM Audit Report to delete open bins before you run the Product Entry Cycle Count Report or Product Entry Physical Count Report. Note: It is important for products to be set up with unique bin locations in Product Warehouse Product Setup. This keeps the system running smoothly when generating cycle count sheets. If there are too many duplicates, the system cannot generate your count sheets in a timely manner. Products that are tagged unavailable are not included in the expected quantity. These goods should be physically separate from shelf goods and in a special area that clearly indicates the goods are not to be picked from because they cannot be used for sales. By flagging the product for a physical count forces the Ops team to investigate the Discrepancy between Available inventory and what was physically found. This happens due to a variety of reasons",,"S4. Flag Product to be counted-Function acronym: ICEPC Use this report to start printing count sheets with the first bin location in the warehouse up to the number of products to count for the current session. Cycle counting means counting a limited number of different products or bins each night. The system€™s cycle counting is true cycle counting. This means there are no report ranges that can be entered. The count is performed in bin location order without regard to which products are supposed to be in the bins, and the count is done shelf to sheet. If several products have the same bin location, the products are sorted in product order. Build-on-demand kits and labor products are excluded from this process. Products with the Count Required field selected in Product Warehouse Product Setup - General are included if they are in the selected bin location. The following evening, the count sheet picks up where the current count sheet ends. Each evening, the last bin location is stored internally on each warehouse record. The following evening, the count sheets start with the next available bin location. If the product is flagged as a must count, the letter c prints next to the expected quantity on the count sheet. Note: If a cycle count run number is open when a physical count run is created, any adjustments updated for the cycle count are made again when the physical count is updated. No cycle count runs should be made while a physical count run is in an open stage that has not been updated. Even with just cycle counts, a remote possibility exists that an item is cycle counted, then set for cycle counting due to an adjustment, and cycle counted again while the first run is still open. Use extreme caution with multiple open run numbers. The Bin Locations and Products record, which does not contain an On Hand quantity, is not automatically deleted when you specify a zero quantity in Product Count Entry. Run the WM Audit Report to delete open bins before you run the Product Entry Cycle Count Report or Product Entry Physical Count Report. Note: It is important for products to be set up with unique bin locations in Product Warehouse Product Setup. This keeps the system running smoothly when generating cycle count sheets. If there are too many duplicates, the system cannot generate your count sheets in a timely manner. Products that are tagged unavailable are not included in the expected quantity. These goods should be physically separate from shelf goods and in a special area that clearly indicates the goods are not to be picked from because they cannot be used for sales. By flagging the product for a physical count forces the Ops team to investigate the Discrepancy between Available inventory and what was physically found. This happens due to a variety of reasons","S4. Flag Product to be counted. Function acronym: ICEPC Use this report to start printing count sheets first bin location warehouse up to the number of. Cycle counting means counting a limited number of different products or bins each night. The system€™s cycle counting is true cycle counting. This means there are no report ranges that can be entered. The count is performed in bin location order without regard to which products are supposed to be bins, and the. If several products have the same bin location, the products are sorted in product order. Build-on-demand kits and labor products are excluded from this process. Products Count Required selected in Product Warehouse Product Setup. General are included if they are selected bin location. The following evening, the count sheet picks up where the current count sheet ends. Each evening, the last bin location is stored internally on each warehouse record. The following evening, the count sheets start next available bin location. If the product is flagged as a must count, the letter c prints next to the expected quantity count sheet. Note: If a cycle count run number is. Open when a physical count run is created, any adjustments updated for the cycle count are made again when the. No cycle count runs should be made while a physical count run is in an. Open stage that has not been updated. Even with just cycle counts, a remote possibility exists that an item is cycle counted, then. Set for cycle counting due to an adjustment, and cycle counted again while the first run is still. Open. Use extreme caution with multiple. Open run numbers. The Bin Locations and Products record, which does not contain an On Hand quantity, is not automatically deleted when you. Run the WM Audit Report to delete. Open bins before you run the Product Entry Cycle Count Report or Product Entry Physical Count Report. Note: It is important for products to be. Set up with unique bin locations in Product Warehouse Product Setup. This keeps the system running smoothly when generating cycle count sheets. If there are too many duplicates, the system cannot generate your count sheets in a timely manner. Products that are tagged unavailable are not included expected quantity. These goods should be physically separate from shelf goods and in a special area that clearly indicates the goods are. By flagging the product for a physical count forces the Ops team to investigate the Discrepancy between Available inventory and. This happens due to a variety of reasons.",,
P15,ShipFB_S5._Drill_into_the_line-item_details.xlsx,S5. Drill Into The Line Item Details,"S5. Drill into the line-item details-Drill down to the line-item detail Sales > Order > Inquiry Use this tab to view detailed information about line items on a sales order. Select or clear these options to show or remove the associated types of lines from the grid: Show Comment Lines Show Inactive Lines Show Sub Total Lines When you drill down on a record to open a line item, these additional views are available, if applicable: Actual Line History Bundles Comments Configurator Core Allocations Correction Date Custom Extended The costs that are displayed on this view are determined by settings on your SA Operator Setup record. You can view one or all of these costs and the related margin amount and margin %: Cost based on settings in SA Administrator Options-Products-Costs Cost from Product Warehouse Product Setup, including the average, standard, replacement, or last cost Internal External Comments Sub Total Lines Kit For a kit component that is a linear cut lot product, the Available column in the Kit Components grid shows the number of cut pieces that have a length greater than or equal to the component's Quantity Needed. For all other kit components, the Available column shows the Net Available value from the Product Warehouse Product Setup record. Lot Non-Stock This tab is displayed when the line item selected is a non-Stock product. The details such as Commodity Code and Net Mass Supplementary Units are displayed in this tab based on the data specified in Order Entry (OEET) screen.",,"S5. Drill into the line-item details-Drill down to the line-item detail Sales > Order > Inquiry Use this tab to view detailed information about line items on a sales order. Select or clear these options to show or remove the associated types of lines from the grid: Show Comment Lines Show Inactive Lines Show Sub Total Lines When you drill down on a record to open a line item, these additional views are available, if applicable: Actual Line History Bundles Comments Configurator Core Allocations Correction Date Custom Extended The costs that are displayed on this view are determined by settings on your SA Operator Setup record. You can view one or all of these costs and the related margin amount and margin %: Cost based on settings in SA Administrator Options-Products-Costs Cost from Product Warehouse Product Setup, including the average, standard, replacement, or last cost Internal External Comments Sub Total Lines Kit For a kit component that is a linear cut lot product, the Available column in the Kit Components grid shows the number of cut pieces that have a length greater than or equal to the component's Quantity Needed. For all other kit components, the Available column shows the Net Available value from the Product Warehouse Product Setup record. Lot Non-Stock This tab is displayed when the line item selected is a non-Stock product. The details such as Commodity Code and Net Mass Supplementary Units are displayed in this tab based on the data specified in Order Entry (OEET) screen.","S5. Drill into the line-item details. Drill down to the line-item detail Sales > Order > Inquiry Use this to view detailed information about line items. Select or clear these options to show or remove the associated types of lines grid: Show Comment Lines Show Inactive. Drill down on a record to. Open a line item, these additional views are available, if applicable: Actual Line History Bundles Comments Configurator Core Allocations Correction. You can view one or all of these costs and the related margin amount and margin %: Cost based on. For all other kit components, the Available column shows the Net Available value Product Warehouse Product Setup record. Lot Non-Stock This is displayed when the line item selected is a non-Stock product. The details such as Commodity Code and Net Mass Supplementary Units are displayed in this based data specified in Order.",,
P16,ShipFB_S6._Enter_or_select_Serial_number_or_lot_number.xlsx,S6. Enter Or Select Serial Number Or Lot Number,"S6. Enter or select Serial number or lot number-Recording the Lot or Serial # information may be required before an order can be shipped. The Message column in the Line Items list will display the word Lot or Serial when the line on the sale order is for a Lot or Serial control product. To access the Lot or Serial # information for a line, click on the drill-down arrow to access the Shipping Feedback Line Item Details screen. Lot Products: Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the Shipping process, or only during the Shipping process. Consequently, a user may be able to select from a list of Available Serial #'s, or may simply need to enter the Serial # manually. If entered manually, be sure to click the Add Select Serial button. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated. If the Serial number or lot number are not entered during receiving or if the serial number is known but product is not pulled based on it this information has to be entered but is pulled and then the serial number entered at this time by selecting it here . I a serial number of the physical item does not appear on the list the a separate process to rectify needs to be done",,"S6. Enter or select Serial number or lot number-Recording the Lot or Serial # information may be required before an order can be shipped. The Message column in the Line Items list will display the word Lot or Serial when the line on the sale order is for a Lot or Serial control product. To access the Lot or Serial # information for a line, click on the drill-down arrow to access the Shipping Feedback Line Item Details screen. Lot Products: Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the Shipping process, or only during the Shipping process. Consequently, a user may be able to select from a list of Available Serial #'s, or may simply need to enter the Serial # manually. If entered manually, be sure to click the Add Select Serial button. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated. If the Serial number or lot number are not entered during receiving or if the serial number is known but product is not pulled based on it this information has to be entered but is pulled and then the serial number entered at this time by selecting it here . I a serial number of the physical item does not appear on the list the a separate process to rectify needs to be done","S6. Enter or. Select Serial number or lot number. Recording the Lot or Serial # information may be required before an order can be shipped. The Message column Line Items list will display the word Lot or Serial when the line sale order is for. To access the Lot or Serial # information for a line. Click. Drill-down arrow to access the Shipping Feedback Line Item Details. Lot Products:. Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the. Consequently, a user may be able to. Select from a list of Available Serial #'s, or may simply need to. Enter the Serial # manually. If entered manually, be sure to. Click the Add. Select Serial. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated. If the Serial number or lot number are not entered during receiving or if the serial number is known but. I a serial number of the physical item does not appear list the a separate process to rectify needs to.",,
P17,ShipFB_S7._Apply_Add-ons.xlsx,S7. Apply Add Ons,"S7. Apply Add-ons-Recording the Lot or Serial # information may be required before an order can be shipped. The Message column in the Line Items list will display the word Lot or Serial when the line on the sale order is for a Lot or Serial control product. To access the Lot or Serial # information for a line, click on the drill-down arrow to access the Shipping Feedback Line Item Details screen. Lot Products: Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the Shipping process, or only during the Shipping process. Consequently, a user may be able to select from a list of Available Serial #'s, or may simply need to enter the Serial # manually. If entered manually, be sure to click the Add Select Serial button. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated.",,"S7. Apply Add-ons-Recording the Lot or Serial # information may be required before an order can be shipped. The Message column in the Line Items list will display the word Lot or Serial when the line on the sale order is for a Lot or Serial control product. To access the Lot or Serial # information for a line, click on the drill-down arrow to access the Shipping Feedback Line Item Details screen. Lot Products: Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the Shipping process, or only during the Shipping process. Consequently, a user may be able to select from a list of Available Serial #'s, or may simply need to enter the Serial # manually. If entered manually, be sure to click the Add Select Serial button. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated.","S7. Apply Add-ons. Recording the Lot or Serial # information may be required before an order can be shipped. The Message column Line Items list will display the word Lot or Serial when the line sale order is for. To access the Lot or Serial # information for a line. Click. Drill-down arrow to access the Shipping Feedback Line Item Details. Lot Products:. Select the Lot(s) of the products being shipped Serial #'s can be required during both the Receiving process and the. Consequently, a user may be able to. Select from a list of Available Serial #'s, or may simply need to. Enter the Serial # manually. If entered manually, be sure to. Click the Add. Select Serial. Save the Lot or Serial # information. Repeat this process until all Lot and Serial control products being shipped have been properly updated.",,
P18,ShipFB_S8._Complete_the_Shipping_feed_back_details.xlsx,S8. Complete The Shipping Feed Back Details,"S8. Complete the Shipping feed back details-â€¢ Once the Details have been updated, the user can click the Ship Unship button to ship the order. Repeat the Shipping Feedback process until all orders being shipped have been updated to the Shipped Stage.",,"S8. Complete the Shipping feed back details-â€¢ Once the Details have been updated, the user can click the Ship Unship button to ship the order. Repeat the Shipping Feedback process until all orders being shipped have been updated to the Shipped Stage.","S8. Complete the Shipping feed back details. - Once the Details have been updated, the user can. Click the Ship Unship to ship the order. Repeat the Shipping Feedback process until all orders being shipped have been updated to the Shipped Stage.",,
P19,ShipFB_S9._Ship_the_order.xlsx,S9. Ship The Order,"S9. Ship the order-If you click Ship on the Sales Shipping Feedback Entry window, the shipped date initially defaults to the current date. When you select an order and click Unship, the date is cleared. If it is blank, the date is updated from Sales Entry Invoice Processing Report. This field is required if the order is in Stage 3 (Shipped) or greater. If you are interfacing to a third-party shipping application, the ship date automatically comes from the shipping application",,"S9. Ship the order-If you click Ship on the Sales Shipping Feedback Entry window, the shipped date initially defaults to the current date. When you select an order and click Unship, the date is cleared. If it is blank, the date is updated from Sales Entry Invoice Processing Report. This field is required if the order is in Stage 3 (Shipped) or greater. If you are interfacing to a third-party shipping application, the ship date automatically comes from the shipping application","S9. Ship the order. If you. Click Ship Sales Shipping Feedback Entry window, the shipped date initially defaults to the current date. When you. Select an order and. Click Unship, the date is cleared. If it is blank, the date is updated from Sales Entry Invoice Processing Report. This is required if the order is in Stage 3 (Shipped) or greater. If you are interfacing to a third-party shipping application, the ship date automatically comes shipping application.",,
P20,ShipFB_S999._You_have_successfully_completed_this_SOP.xlsx,S999. You Have Successfully Completed This SOP,S999. You have successfully completed this SOP-Congratulations you have now traversed all the possible paths for this SOP of port to sales order While it is good that you've traversed all the paths what you need to do is to practice and become efficient and be able to translate your current work to the new system Have a nice day,,S999. You have successfully completed this SOP-Congratulations you have now traversed all the possible paths for this SOP of port to sales order While it is good that you've traversed all the paths what you need to do is to practice and become efficient and be able to translate your current work to the new system Have a nice day,S999. You have successfully completed this SOP. Congratulations you have now traversed all the possible paths for this SOP of port to sales order While it is.,,
P21,ShipFB_Y1._Decision_to_initiate_a_physical_count_is_taken.xlsx,Y1. Decision To Initiate A Physical Count Is Taken,Y1. Decision to initiate a physical count is taken-Since there was a shortage of product available to fulfill this order however the system had indicated other wise the discrepancy needs to be investigated,,Y1. Decision to initiate a physical count is taken-Since there was a shortage of product available to fulfill this order however the system had indicated other wise the discrepancy needs to be investigated,Y1. Decision to initiate a physical count is taken. Since there was a shortage of product available to fulfill this order however the system had indicated other wise the.,,
P22,ShipFB_Y2._Yes_this_is_a_lot_or_Serialized_item.xlsx,Y2. Yes This Is A Lot Or Serialized Item,Y2. Yes this is a lot or Serialized item-Being a Serialized or lot controlled these items need to have the serial number s and lot numbers recorded prior to shipping,,Y2. Yes this is a lot or Serialized item-Being a Serialized or lot controlled these items need to have the serial number s and lot numbers recorded prior to shipping,Y2. Yes this is a lot or Serialized item. Being a Serialized or lot controlled these items need to have the serial number s and lot numbers recorded prior.,,
P23,ShipFB_nan.xlsx,Nan,C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx,,C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx,C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx.,,
